EmployeeID,Age,Gender,Country,JobRole,Department,YearsAtCompany,WorkHoursPerWeek,RemoteWork,BurnoutLevel,JobSatisfaction,StressLevel,ProductivityScore,SleepHours,PhysicalActivityHrs,CommuteTime,HasMentalHealthSupport,ManagerSupportScore,HasTherapyAccess,MentalHealthDaysOff,SalaryRange,WorkLifeBalanceScore,TeamSize,CareerGrowthScore,BurnoutRisk
5000,27,Male,USA,Customer Success,Marketing,0,44.4,Hybrid,4.25,5.41,4.83,7.0,8.4,2.7,33,No,8.03,Yes,3,<40K,8.65,8,5.68,0
5001,27,Prefer not to say,Germany,Data Scientist,Marketing,4,37.2,Hybrid,4.29,8.81,3.56,4.87,6.3,4.2,66,No,7.29,Yes,0,40K-60K,5.62,24,5.01,0
5002,37,Female,USA,Operations Lead,Operations,3,38.4,Yes,4.64,5.78,5.61,7.22,8.5,2.2,13,Yes,3.04,No,2,40K-60K,6.27,16,6.52,0
5003,37,Non-binary,Germany,Marketing Manager,Engineering,1,39.8,No,4.53,4.22,4.65,5.32,6.9,1.8,33,Yes,7.68,Yes,0,<40K,6.79,8,3.31,0
5004,22,Male,USA,Sales Executive,Sales,0,54.4,No,4.94,7.44,4.98,5.06,7.6,1.6,63,Yes,6.24,Yes,2,80K-100K,7.38,11,5.53,0
5005,46,Prefer not to say,Australia,Data Scientist,Operations,1,40.3,Yes,4.41,6.34,4.15,6.41,6.8,6.2,56,Yes,5.6,No,5,40K-60K,6.56,11,7.32,0
5006,42,Non-binary,USA,Software Engineer,Operations,4,44.7,Hybrid,5.25,4.84,4.63,6.11,6.3,5.9,48,No,10.0,No,0,40K-60K,3.99,21,5.98,0
5007,35,Female,Australia,Data Scientist,Operations,4,41.2,No,4.84,7.98,3.59,6.33,6.1,6.2,34,Yes,5.15,No,2,40K-60K,5.78,8,5.85,0
5008,40,Female,UK,Software Engineer,Marketing,1,43.2,Yes,5.74,4.05,5.63,7.92,5.3,3.8,26,No,5.24,Yes,3,40K-60K,3.83,6,5.47,0
5009,25,Prefer not to say,Germany,Marketing Manager,Engineering,12,49.9,Yes,6.25,5.45,6.85,4.67,6.1,3.9,50,Yes,4.55,No,0,80K-100K,4.5,15,7.9,0
5010,32,Male,Germany,Software Engineer,Marketing,0,44.9,No,5.8,6.3,6.58,4.58,5.0,2.6,30,Yes,5.97,No,5,40K-60K,5.14,25,6.34,0
5011,42,Male,USA,Software Engineer,Sales,5,47.7,No,5.34,6.45,5.73,7.24,6.7,4.0,45,No,6.26,No,2,60K-80K,5.66,15,5.08,0
5012,41,Prefer not to say,Germany,Software Engineer,Marketing,0,43.1,Hybrid,5.6,6.0,8.12,5.04,6.9,2.6,32,Yes,5.91,No,4,<40K,8.41,22,7.54,0
5013,28,Non-binary,Canada,Sales Executive,Engineering,14,39.4,Hybrid,6.07,4.41,8.15,4.89,5.4,4.3,69,No,5.38,Yes,5,40K-60K,5.7,6,7.81,0
5014,33,Female,Germany,Software Engineer,HR,1,35.2,Hybrid,5.47,4.84,7.06,6.84,5.8,5.0,24,No,6.98,No,2,60K-80K,6.23,16,8.59,0
5015,41,Male,India,Data Scientist,Engineering,4,51.1,No,6.84,5.49,8.8,6.18,7.1,3.8,49,No,3.04,No,5,80K-100K,3.78,10,8.36,0
5016,33,Female,USA,Marketing Manager,Finance,2,55.1,No,5.47,5.63,5.96,5.67,6.8,4.0,52,Yes,6.23,No,1,80K-100K,7.3,18,3.83,0
5017,31,Female,USA,Data Scientist,Sales,4,40.9,No,5.03,6.67,4.92,8.86,5.8,3.5,37,Yes,5.85,Yes,3,100K+,5.17,11,7.28,0
5018,27,Male,India,Sales Executive,Marketing,3,48.0,Hybrid,5.39,5.79,9.16,5.51,8.9,3.3,33,Yes,5.58,No,0,60K-80K,8.97,18,6.89,0
5019,36,Male,India,Product Manager,Product,1,42.0,Hybrid,5.16,5.93,5.49,3.98,7.8,3.6,45,No,8.14,Yes,1,40K-60K,4.76,5,10.0,0
5020,37,Prefer not to say,India,Product Manager,Customer Support,8,44.1,No,5.55,5.64,5.55,5.41,5.1,4.7,35,Yes,6.63,Yes,4,100K+,5.32,8,7.52,0
5021,47,Non-binary,Germany,Customer Success,Customer Support,0,31.1,No,3.91,5.67,4.75,7.39,6.0,1.6,29,Yes,1.0,No,2,40K-60K,8.67,14,5.43,0
5022,39,Male,Australia,Sales Executive,Finance,0,37.2,No,6.64,5.87,8.86,6.79,6.7,4.9,7,Yes,5.11,Yes,7,80K-100K,2.19,12,5.41,0
5023,36,Non-binary,India,Data Scientist,Customer Support,6,48.5,Yes,6.16,4.94,6.25,5.22,6.8,2.5,62,No,4.61,Yes,3,60K-80K,3.82,15,7.66,0
5024,41,Prefer not to say,Australia,Sales Executive,Customer Support,2,42.5,Yes,5.46,6.86,4.34,6.09,4.5,5.3,2,No,5.05,Yes,6,100K+,4.17,8,7.15,0
5025,36,Male,India,Data Scientist,Operations,3,37.1,No,5.01,7.08,7.76,8.52,6.3,5.9,72,No,8.01,No,2,<40K,9.25,13,7.07,0
5026,36,Male,Germany,Sales Executive,Operations,2,44.8,Yes,4.72,5.13,4.69,6.17,8.2,1.2,56,No,1.0,No,4,<40K,6.72,3,8.08,0
5027,42,Female,UK,Sales Executive,Engineering,1,49.2,No,5.86,7.99,8.33,6.94,6.6,7.2,42,Yes,6.22,Yes,3,80K-100K,7.76,20,3.94,0
5028,44,Prefer not to say,Australia,Sales Executive,HR,1,37.5,Hybrid,5.34,6.04,5.88,5.92,5.8,6.2,42,Yes,7.23,Yes,3,80K-100K,5.68,21,2.1,0
5029,41,Female,Australia,Data Scientist,Operations,7,56.3,No,5.81,7.72,5.99,6.21,5.5,4.0,26,Yes,5.02,No,5,40K-60K,5.77,13,6.98,0
5030,41,Male,Australia,Data Scientist,Customer Support,7,47.0,Hybrid,5.35,3.81,5.39,6.6,7.1,3.6,12,No,3.45,Yes,2,40K-60K,5.4,9,6.9,0
5031,27,Prefer not to say,USA,Software Engineer,HR,0,43.2,Yes,5.39,5.57,6.65,8.63,6.8,7.8,103,No,8.72,No,2,100K+,6.85,25,6.74,0
5032,39,Male,Canada,Product Manager,Marketing,0,41.6,No,6.34,7.93,7.82,4.11,6.1,3.5,25,Yes,8.57,Yes,7,80K-100K,4.48,20,4.33,0
5033,27,Non-binary,India,Product Manager,Marketing,5,43.3,Yes,4.87,7.27,3.99,4.31,6.3,4.3,47,No,7.26,No,0,60K-80K,6.4,6,9.2,0
5034,38,Non-binary,USA,Software Engineer,Operations,3,49.0,Hybrid,5.56,4.8,6.6,4.97,5.8,2.8,12,No,4.69,Yes,6,100K+,8.06,7,5.8,0
